Log Number,Ozone,Cell Temp,Cell Pressure,Flow Rate,PDV,Date,Time
1,125.6,30.7,805.6,985,1.3847,15/06/18,11:19:18
2,327.9,31.7,806.3,985,1.3848,15/06/18,11:19:20
3,368.7,31.7,806.3,985,1.3848,15/06/18,11:19:22
4,328.6,31.6,805.3,1009,1.3849,15/06/18,11:19:24
5,328.8,31.6,805.3,1009,1.3849,15/06/18,11:19:26
6,328.9,31.7,805.5,1009,1.385,15/06/18,11:19:28
7,328.9,31.7,805.5,1009,1.385,15/06/18,11:19:30
8,328.9,31.6,806.7,1014,1.385,15/06/18,11:19:32
9,329,31.6,806.7,1014,1.3851,15/06/18,11:19:34
10,329.5,31.6,805,991,1.3851,15/06/18,11:19:36
11,208.3,31.6,805,991,1.3852,15/06/18,11:19:38
12,6,31.6,805.6,1009,1.3852,15/06/18,11:19:40
13,-34.5,31.6,805.6,1009,1.3853,15/06/18,11:19:42
14,6,31.6,806.6,991,1.3853,15/06/18,11:19:44
15,6.3,31.6,806.6,991,1.3853,15/06/18,11:19:46
16,6.5,31.6,804.8,1004,1.3853,15/06/18,11:19:48
17,7,31.6,804.8,1004,1.3854,15/06/18,11:19:50
18,8,31.6,806.2,958,1.3854,15/06/18,11:19:52
19,8.7,31.6,806.2,958,1.3855,15/06/18,11:19:54
20,8.7,31.6,806.7,989,1.3855,15/06/18,11:19:56
21,8.8,31.6,806.7,989,1.3856,15/06/18,11:19:58
22,9.5,31.7,804.5,991,1.3855,15/06/18,11:20:00
23,10.4,31.7,804.5,991,1.3856,15/06/18,11:20:02
24,11.1,31.7,806.1,985,1.3856,15/06/18,11:20:04
25,11.8,31.7,806.1,985,1.3857,15/06/18,11:20:06
26,12.2,31.6,806.6,1009,1.3857,15/06/18,11:20:08
27,12.3,31.6,806.6,1009,1.3858,15/06/18,11:20:10
28,12.4,31.6,804.5,983,1.3857,15/06/18,11:20:12
29,12.7,31.6,804.5,983,1.3858,15/06/18,11:20:14
30,13.3,31.6,806.2,985,1.3858,15/06/18,11:20:16
31,13.8,31.6,806.2,985,1.3859,15/06/18,11:20:18
32,14,31.6,806.6,1015,1.3858,15/06/18,11:20:20
33,14.4,31.6,806.6,1015,1.386,15/06/18,11:20:22
34,15.1,31.6,804.8,986,1.3859,15/06/18,11:20:24
35,15.5,31.6,804.8,986,1.386,15/06/18,11:20:26
36,16,31.7,806.6,986,1.386,15/06/18,11:20:28
37,16.5,31.7,806.6,986,1.3861,15/06/18,11:20:30
38,16.7,31.7,806.2,1015,1.386,15/06/18,11:20:32
39,16.7,31.7,806.2,1015,1.3861,15/06/18,11:20:34
40,16.9,31.7,804.6,991,1.3861,15/06/18,11:20:36
41,17.2,31.7,804.6,991,1.3862,15/06/18,11:20:38
42,17.4,31.6,806.4,973,1.3861,15/06/18,11:20:40
43,17.4,31.6,806.4,973,1.3862,15/06/18,11:20:42
44,17.2,31.7,806.8,996,1.3862,15/06/18,11:20:44
45,17,31.7,806.8,996,1.3863,15/06/18,11:20:46
46,16.8,31.7,805,988,1.3862,15/06/18,11:20:48
47,17,31.7,805,988,1.3863,15/06/18,11:20:50
48,17.6,31.7,805.3,979,1.3863,15/06/18,11:20:52
49,18.2,31.7,805.3,979,1.3864,15/06/18,11:20:54
50,18.4,31.6,806.8,993,1.3863,15/06/18,11:20:56
51,18.6,31.6,806.8,993,1.3864,15/06/18,11:20:58
52,18.9,31.7,806.3,978,1.3863,15/06/18,11:21:00
53,19.2,31.7,806.3,978,1.3865,15/06/18,11:21:02
54,19.7,31.7,804.4,987,1.3864,15/06/18,11:21:04
55,20.4,31.7,804.4,987,1.3865,15/06/18,11:21:06
56,21.1,31.7,805.9,1004,1.3864,15/06/18,11:21:08
57,21.4,31.7,805.9,1004,1.3865,15/06/18,11:21:10
58,21.5,31.6,806.7,981,1.3864,15/06/18,11:21:12
59,21.5,31.6,806.7,981,1.3866,15/06/18,11:21:14
60,21.6,31.7,805.3,990,1.3865,15/06/18,11:21:16
61,21.8,31.7,805.3,990,1.3866,15/06/18,11:21:18
62,22.3,31.7,804.5,1004,1.3865,15/06/18,11:21:20
63,22.8,31.7,804.5,1004,1.3866,15/06/18,11:21:22
64,22.8,31.6,806.5,964,1.3866,15/06/18,11:21:24
65,22.3,31.6,806.5,964,1.3866,15/06/18,11:21:26
66,21.7,31.7,806.4,979,1.3866,15/06/18,11:21:28
67,21.3,31.7,806.4,979,1.3867,15/06/18,11:21:30
68,21.3,31.7,804.6,977,1.3866,15/06/18,11:21:32
69,21.3,31.7,804.6,977,1.3867,15/06/18,11:21:34
70,21.3,31.6,806.1,977,1.3866,15/06/18,11:21:36
71,21.4,31.6,806.1,977,1.3867,15/06/18,11:21:38
72,21,31.6,806.3,969,1.3867,15/06/18,11:21:40
73,20.3,31.6,806.3,969,1.3868,15/06/18,11:21:42
74,20.2,31.7,806.4,973,1.3867,15/06/18,11:21:44
75,20.8,31.7,806.4,973,1.3868,15/06/18,11:21:46
76,21.6,31.7,804.9,996,1.3867,15/06/18,11:21:48
77,22,31.7,804.9,996,1.3868,15/06/18,11:21:50
78,22.5,31.7,804.4,998,1.3867,15/06/18,11:21:52
79,23.1,31.7,804.4,998,1.3868,15/06/18,11:21:54
80,23.7,31.6,806.3,951,1.3867,15/06/18,11:21:56
81,23.6,31.6,806.3,951,1.3868,15/06/18,11:21:58
82,23.2,31.7,806.2,975,1.3868,15/06/18,11:22:00
83,23.3,31.7,806.2,975,1.3869,15/06/18,11:22:02
84,23.6,31.7,804.7,1013,1.3868,15/06/18,11:22:04
85,23.7,31.7,804.7,1013,1.3869,15/06/18,11:22:06
86,23.7,31.7,804.6,964,1.3868,15/06/18,11:22:08
87,23.8,31.7,804.6,964,1.3869,15/06/18,11:22:10
88,23.7,31.7,806.7,975,1.3868,15/06/18,11:22:12
89,23.8,31.7,806.7,975,1.3869,15/06/18,11:22:14
90,23.9,31.7,806,987,1.3868,15/06/18,11:22:16
91,24.4,31.7,806,987,1.3869,15/06/18,11:22:18
92,25.2,31.7,804.3,983,1.3868,15/06/18,11:22:20
93,25.4,31.7,804.3,983,1.3869,15/06/18,11:22:22
94,25.1,31.6,805.9,960,1.3868,15/06/18,11:22:24
95,25,31.6,805.9,960,1.3869,15/06/18,11:22:26
96,25,31.7,806.5,962,1.3869,15/06/18,11:22:28
97,24.9,31.7,806.5,962,1.387,15/06/18,11:22:30
98,24.6,31.7,805.6,977,1.3869,15/06/18,11:22:32
99,24.2,31.7,805.6,977,1.387,15/06/18,11:22:34
100,23.8,31.7,805.1,981,1.3869,15/06/18,11:22:36
101,23.6,31.7,805.1,981,1.387,15/06/18,11:22:38
102,23.6,31.6,806.8,953,1.3869,15/06/18,11:22:40
103,23.8,31.6,806.8,953,1.387,15/06/18,11:22:42
104,24,31.7,806.5,964,1.3869,15/06/18,11:22:44
105,23.8,31.7,806.5,964,1.387,15/06/18,11:22:46
106,23.3,31.7,804.9,981,1.3869,15/06/18,11:22:48
107,22.9,31.7,804.9,981,1.387,15/06/18,11:22:50
108,23,31.7,805.3,997,1.3869,15/06/18,11:22:52
109,23.2,31.7,805.3,997,1.387,15/06/18,11:22:54
110,23.4,31.6,806.6,963,1.3869,15/06/18,11:22:56
111,23.3,31.6,806.6,963,1.387,15/06/18,11:22:58
112,23.2,31.7,806.5,973,1.3869,15/06/18,11:23:00
113,23.5,31.7,806.5,973,1.387,15/06/18,11:23:02
114,23.9,31.7,805,998,1.3869,15/06/18,11:23:04
115,24,31.7,805,998,1.387,15/06/18,11:23:06
116,24.3,31.7,805.1,971,1.3869,15/06/18,11:23:08
117,24.7,31.7,805.1,971,1.387,15/06/18,11:23:10
118,24.9,31.6,806.7,953,1.3869,15/06/18,11:23:12
119,25,31.6,806.7,953,1.387,15/06/18,11:23:14
120,25.3,31.7,806.5,978,1.3869,15/06/18,11:23:16
121,25.8,31.7,806.5,978,1.387,15/06/18,11:23:18
122,25.9,31.7,805.1,995,1.3869,15/06/18,11:23:20
123,25.5,31.7,805.1,995,1.387,15/06/18,11:23:22
124,25.4,31.7,804.3,988,1.3869,15/06/18,11:23:24
125,25.5,31.7,804.3,988,1.387,15/06/18,11:23:26
126,25.6,31.7,806,959,1.3869,15/06/18,11:23:28
127,25.8,31.7,806,959,1.387,15/06/18,11:23:30
128,25.8,31.7,806.8,965,1.3869,15/06/18,11:23:32
129,25.5,31.7,806.8,965,1.387,15/06/18,11:23:34
130,24.9,31.7,806.4,991,1.3869,15/06/18,11:23:36
131,24,31.7,806.4,991,1.387,15/06/18,11:23:38
132,23.4,31.7,804.5,968,1.3869,15/06/18,11:23:40
133,23.3,31.7,804.5,968,1.387,15/06/18,11:23:42
134,23.2,31.6,805.3,958,1.3869,15/06/18,11:23:44
135,23.4,31.6,805.3,958,1.387,15/06/18,11:23:46
136,23.8,31.7,806.2,959,1.3869,15/06/18,11:23:48
137,24.1,31.7,806.2,959,1.387,15/06/18,11:23:50
138,24.3,31.7,806.2,974,1.3869,15/06/18,11:23:52
139,24.6,31.7,806.2,974,1.387,15/06/18,11:23:54
140,25,31.7,805.6,973,1.3869,15/06/18,11:23:56
141,25.5,31.7,805.6,973,1.387,15/06/18,11:23:58
142,26.2,31.7,804.8,974,1.3868,15/06/18,11:24:00
143,26.9,31.7,804.8,974,1.387,15/06/18,11:24:02
144,27.1,31.7,804.5,974,1.3869,15/06/18,11:24:04
145,26.8,31.7,804.5,974,1.387,15/06/18,11:24:06
146,26.5,31.6,805.8,969,1.3868,15/06/18,11:24:08
147,26.2,31.6,805.8,969,1.3869,15/06/18,11:24:10
148,26,31.6,806.6,985,1.3868,15/06/18,11:24:12
149,26.1,31.6,806.6,985,1.3869,15/06/18,11:24:14
150,26.5,31.7,806.2,965,1.3868,15/06/18,11:24:16
151,26.7,31.7,806.2,965,1.3869,15/06/18,11:24:18
152,26.4,31.7,805,985,1.3868,15/06/18,11:24:20
153,26,31.7,805,985,1.3869,15/06/18,11:24:22
154,25.7,31.7,804,998,1.3868,15/06/18,11:24:24
155,25.7,31.7,804,998,1.3869,15/06/18,11:24:26
156,25.9,31.7,804.3,984,1.3868,15/06/18,11:24:28
157,25.9,31.7,804.3,984,1.3869,15/06/18,11:24:30
158,25.8,31.7,805.9,984,1.3868,15/06/18,11:24:32
159,25.3,31.7,805.9,984,1.3869,15/06/18,11:24:34
160,24.8,31.7,806.7,989,1.3868,15/06/18,11:24:36
161,24.9,31.7,806.7,989,1.3869,15/06/18,11:24:38
162,25.1,31.7,806.2,969,1.3868,15/06/18,11:24:40
163,24.9,31.7,806.2,969,1.3869,15/06/18,11:24:42
164,24.9,31.7,804.7,989,1.3867,15/06/18,11:24:44
165,25,31.7,804.7,989,1.3868,15/06/18,11:24:46
166,25,31.7,804.2,989,1.3867,15/06/18,11:24:48
167,25.1,31.7,804.2,989,1.3868,15/06/18,11:24:50
168,25.3,31.6,805.1,973,1.3867,15/06/18,11:24:52
169,25.3,31.6,805.1,973,1.3868,15/06/18,11:24:54
170,24.9,31.6,806,965,1.3867,15/06/18,11:24:56
171,24.2,31.6,806,965,1.3868,15/06/18,11:24:58
172,24.1,31.7,806.6,970,1.3867,15/06/18,11:25:00
173,24.5,31.7,806.6,970,1.3868,15/06/18,11:25:02
174,24.6,31.7,806.6,955,1.3867,15/06/18,11:25:04
175,24.7,31.7,806.6,955,1.3868,15/06/18,11:25:06
176,24.7,31.7,804.8,973,1.3867,15/06/18,11:25:08
177,24.3,31.7,804.8,973,1.3867,15/06/18,11:25:10
178,23.7,31.7,804.4,982,1.3866,15/06/18,11:25:12
179,23.9,31.7,804.4,982,1.3868,15/06/18,11:25:14
180,24.6,31.7,804.4,983,1.3866,15/06/18,11:25:16
181,24.9,31.7,804.4,983,1.3867,15/06/18,11:25:18
182,24.5,31.6,805.3,983,1.3866,15/06/18,11:25:20
183,24.2,31.6,805.3,983,1.3867,15/06/18,11:25:22
184,24.4,31.6,806.2,949,1.3866,15/06/18,11:25:24
185,24.7,31.6,806.2,949,1.3867,15/06/18,11:25:26
186,24.9,31.7,806.7,960,1.3866,15/06/18,11:25:28
187,25.3,31.7,806.7,960,1.3867,15/06/18,11:25:30
188,26,31.7,806.4,973,1.3865,15/06/18,11:25:32
189,26.5,31.7,806.4,973,1.3867,15/06/18,11:25:34
190,26.5,31.7,806,994,1.3865,15/06/18,11:25:36
191,27,31.7,806,994,1.3866,15/06/18,11:25:38
192,27.8,31.7,805.3,994,1.3865,15/06/18,11:25:40
193,28.5,31.7,805.3,994,1.3866,15/06/18,11:25:42
194,28.7,31.7,804.7,1001,1.3865,15/06/18,11:25:44
195,28.6,31.7,804.7,1001,1.3866,15/06/18,11:25:46
196,28.5,31.7,805.9,980,1.3865,15/06/18,11:25:48
197,28.8,31.7,805.9,980,1.3866,15/06/18,11:25:50
198,29.2,31.6,806.1,962,1.3865,15/06/18,11:25:52
199,29.2,31.6,806.1,962,1.3866,15/06/18,11:25:54
200,29.1,31.7,806.6,969,1.3864,15/06/18,11:25:56
201,29.1,31.7,806.6,969,1.3866,15/06/18,11:25:58
202,29,31.7,806.5,991,1.3864,15/06/18,11:26:00
203,28.6,31.7,806.5,991,1.3865,15/06/18,11:26:02
204,27.9,31.7,806.5,991,1.3864,15/06/18,11:26:04
205,27.6,31.7,806.5,991,1.3865,15/06/18,11:26:06
206,27.9,31.7,805.9,1017,1.3864,15/06/18,11:26:08
207,27.9,31.7,805.9,1017,1.3865,15/06/18,11:26:10
208,27.3,31.7,804.8,994,1.3864,15/06/18,11:26:12
209,26.9,31.7,804.8,994,1.3865,15/06/18,11:26:14
210,26.8,31.7,804.4,1010,1.3863,15/06/18,11:26:16
211,26.8,31.7,804.4,1010,1.3865,15/06/18,11:26:18
212,26.8,31.6,805.2,979,1.3863,15/06/18,11:26:20
213,27.2,31.6,805.2,979,1.3864,15/06/18,11:26:22
214,27.8,31.6,805.8,971,1.3863,15/06/18,11:26:24
215,28.3,31.6,805.8,971,1.3864,15/06/18,11:26:26
216,28,31.6,806.5,986,1.3863,15/06/18,11:26:28
217,27.8,31.6,806.5,986,1.3864,15/06/18,11:26:30
218,28.1,31.7,806.1,1002,1.3862,15/06/18,11:26:32
219,28.6,31.7,806.1,1002,1.3864,15/06/18,11:26:34
220,28.7,31.7,804.7,1009,1.3862,15/06/18,11:26:36
221,28.6,31.7,804.7,1009,1.3863,15/06/18,11:26:38
222,28.2,31.7,804.5,1000,1.3862,15/06/18,11:26:40
223,27.5,31.7,804.5,1000,1.3863,15/06/18,11:26:42
224,27.2,31.6,806.1,980,1.3862,15/06/18,11:26:44
225,27.3,31.6,806.1,980,1.3863,15/06/18,11:26:46
226,27.4,31.7,806.3,990,1.3862,15/06/18,11:26:48
227,27.6,31.7,806.3,990,1.3863,15/06/18,11:26:50
228,27.6,31.7,805.8,970,1.3861,15/06/18,11:26:52
229,27.6,31.7,805.8,970,1.3863,15/06/18,11:26:54
230,27.7,31.7,804.4,970,1.3861,15/06/18,11:26:56
231,28.2,31.7,804.4,970,1.3862,15/06/18,11:26:58
232,28.5,31.6,805.8,971,1.3861,15/06/18,11:27:00
233,28.4,31.6,805.8,971,1.3862,15/06/18,11:27:02
234,27.9,31.6,806.6,977,1.3861,15/06/18,11:27:04
235,27.6,31.6,806.6,977,1.3862,15/06/18,11:27:06
236,27.7,31.7,806.3,987,1.3861,15/06/18,11:27:08
237,27.6,31.7,806.3,987,1.3862,15/06/18,11:27:10
238,27.2,31.7,805.5,981,1.386,15/06/18,11:27:12
239,27.1,31.7,805.5,981,1.3862,15/06/18,11:27:14
240,27.3,31.7,804.3,984,1.386,15/06/18,11:27:16
241,27.4,31.7,804.3,984,1.3861,15/06/18,11:27:18
242,27.4,31.7,804.4,981,1.386,15/06/18,11:27:20
243,28.1,31.7,804.4,981,1.3861,15/06/18,11:27:22
244,29.2,31.6,805.4,985,1.3859,15/06/18,11:27:24
245,30,31.6,805.4,985,1.3861,15/06/18,11:27:26
246,30.4,31.6,806.3,988,1.3859,15/06/18,11:27:28
247,30.7,31.6,806.3,988,1.3861,15/06/18,11:27:30
248,31.2,31.7,806.7,967,1.3859,15/06/18,11:27:32
249,31.4,31.7,806.7,967,1.386,15/06/18,11:27:34
250,31.4,31.7,806.2,984,1.3859,15/06/18,11:27:36
251,31.9,31.7,806.2,984,1.386,15/06/18,11:27:38
252,32.5,31.7,805,1001,1.3859,15/06/18,11:27:40
253,32.7,31.7,805,1001,1.386,15/06/18,11:27:42
254,32.7,31.7,804.4,990,1.3858,15/06/18,11:27:44
255,32.5,31.7,804.4,990,1.386,15/06/18,11:27:46
256,32.3,31.7,804,996,1.3858,15/06/18,11:27:48
257,32.1,31.7,804,996,1.3859,15/06/18,11:27:50
258,32.2,31.6,804.7,971,1.3858,15/06/18,11:27:52
259,32.3,31.6,804.7,971,1.3859,15/06/18,11:27:54
260,32,31.6,805.6,961,1.3858,15/06/18,11:27:56
261,31.2,31.6,805.6,961,1.3859,15/06/18,11:27:58
262,30.2,31.6,806.3,977,1.3858,15/06/18,11:28:00
263,29.7,31.6,806.3,977,1.3859,15/06/18,11:28:02
264,29.3,31.7,806.2,994,1.3857,15/06/18,11:28:04
265,29.1,31.7,806.2,994,1.3858,15/06/18,11:28:06
266,29,31.6,805.7,1012,1.3857,15/06/18,11:28:08
267,28.6,31.6,805.7,1012,1.3858,15/06/18,11:28:10
268,28,31.7,805.1,999,1.3857,15/06/18,11:28:12
269,28,31.7,805.1,999,1.3858,15/06/18,11:28:14
270,28.5,31.7,804.6,1013,1.3856,15/06/18,11:28:16
271,29.2,31.7,804.6,1013,1.3858,15/06/18,11:28:18
272,29.6,31.7,804.1,996,1.3856,15/06/18,11:28:20
273,30,31.7,804.1,996,1.3858,15/06/18,11:28:22
274,30.4,31.6,804.5,980,1.3856,15/06/18,11:28:24
275,30.5,31.6,804.5,980,1.3857,15/06/18,11:28:26
276,30.6,31.6,805.5,984,1.3856,15/06/18,11:28:28
277,31,31.6,805.5,984,1.3857,15/06/18,11:28:30
278,31.7,31.6,806,984,1.3855,15/06/18,11:28:32
279,32.2,31.6,806,984,1.3857,15/06/18,11:28:34
280,32.1,31.7,806.3,986,1.3855,15/06/18,11:28:36
281,31.8,31.7,806.3,986,1.3856,15/06/18,11:28:38
282,31.4,31.6,806.6,978,1.3855,15/06/18,11:28:40
283,30.7,31.6,806.6,978,1.3856,15/06/18,11:28:42
284,30.1,31.7,806.5,981,1.3855,15/06/18,11:28:44
285,29.9,31.7,806.5,981,1.3856,15/06/18,11:28:46
286,29.9,31.7,806.4,978,1.3855,15/06/18,11:28:48
287,29.8,31.7,806.4,978,1.3856,15/06/18,11:28:50
288,29.6,31.7,805.6,989,1.3854,15/06/18,11:28:52
289,29.2,31.7,805.6,989,1.3856,15/06/18,11:28:54
290,28.8,31.7,805.1,978,1.3854,15/06/18,11:28:56
291,28.4,31.7,805.1,978,1.3855,15/06/18,11:28:58
292,28.4,31.7,804.5,987,1.3854,15/06/18,11:29:00
293,29,31.7,804.5,987,1.3855,15/06/18,11:29:02
294,29.4,31.7,805.1,987,1.3854,15/06/18,11:29:04
295,29.3,31.7,805.1,987,1.3855,15/06/18,11:29:06
296,29.3,31.6,805.7,987,1.3853,15/06/18,11:29:08
297,29.3,31.6,805.7,987,1.3854,15/06/18,11:29:10
298,29.5,31.6,806.1,987,1.3853,15/06/18,11:29:12
299,29.6,31.6,806.1,987,1.3854,15/06/18,11:29:14
300,29.6,31.7,806.5,988,1.3853,15/06/18,11:29:16
301,29.8,31.7,806.5,988,1.3854,15/06/18,11:29:18
302,30.1,31.7,806.6,981,1.3852,15/06/18,11:29:20
303,30.4,31.7,806.6,981,1.3854,15/06/18,11:29:22
304,30.6,31.7,806.3,992,1.3852,15/06/18,11:29:24
305,30.5,31.7,806.3,992,1.3853,15/06/18,11:29:26
306,30.3,31.7,806.2,981,1.3852,15/06/18,11:29:28
307,30.2,31.7,806.2,981,1.3853,15/06/18,11:29:30
308,30.3,31.7,805.5,998,1.3852,15/06/18,11:29:32
309,30.2,31.7,805.5,998,1.3853,15/06/18,11:29:34
310,30.3,31.7,805.1,982,1.3851,15/06/18,11:29:36
311,30.6,31.7,805.1,982,1.3853,15/06/18,11:29:38
312,30.8,31.7,804.5,993,1.3851,15/06/18,11:29:40
313,30.6,31.7,804.5,993,1.3852,15/06/18,11:29:42
314,30.6,31.7,804.6,1009,1.3851,15/06/18,11:29:44
315,31.2,31.7,804.6,1009,1.3852,15/06/18,11:29:46
316,32,31.7,804.3,1009,1.3851,15/06/18,11:29:48
317,32.4,31.7,804.3,1009,1.3852,15/06/18,11:29:50
318,32.4,31.6,804.3,1009,1.385,15/06/18,11:29:52
319,32.3,31.6,804.3,1009,1.3851,15/06/18,11:29:54
320,31.9,31.6,804.3,1009,1.385,15/06/18,11:29:56
321,31.5,31.6,804.3,1009,1.3851,15/06/18,11:29:58
322,31.6,31.6,804.7,1009,1.385,15/06/18,11:30:00
323,31.9,31.6,804.7,1009,1.3851,15/06/18,11:30:02
324,32,31.6,805.1,993,1.3849,15/06/18,11:30:04
325,31.9,31.6,805.1,993,1.3851,15/06/18,11:30:06
326,31.7,31.6,806.3,978,1.3849,15/06/18,11:30:08
327,31.6,31.6,806.3,978,1.385,15/06/18,11:30:10
328,31.5,31.7,806.3,959,1.3849,15/06/18,11:30:12
329,31.8,31.7,806.3,959,1.385,15/06/18,11:30:14
330,32.4,31.7,806.6,950,1.3849,15/06/18,11:30:16
331,32.6,31.7,806.6,950,1.385,15/06/18,11:30:18
332,32.5,31.7,806.6,948,1.3848,15/06/18,11:30:20
333,32.6,31.7,806.6,948,1.385,15/06/18,11:30:22
334,32.8,31.6,806.5,953,1.3848,15/06/18,11:30:24
335,32.9,31.6,806.5,953,1.3849,15/06/18,11:30:26
336,32.8,31.6,806.7,948,1.3848,15/06/18,11:30:28
337,32.6,31.6,806.7,948,1.3849,15/06/18,11:30:30
338,33,31.6,806.6,953,1.3847,15/06/18,11:30:32
339,33.6,31.6,806.6,953,1.3849,15/06/18,11:30:34
340,33.9,31.7,806.4,969,1.3847,15/06/18,11:30:36
341,34.3,31.7,806.4,969,1.3848,15/06/18,11:30:38
342,34.7,31.6,806.3,985,1.3847,15/06/18,11:30:40
343,34.6,31.6,806.3,985,1.3848,15/06/18,11:30:42
344,34.3,31.6,806,1001,1.3847,15/06/18,11:30:44
345,34.3,31.6,806,1001,1.3848,15/06/18,11:30:46
346,34.5,31.6,805.8,1014,1.3846,15/06/18,11:30:48
347,34.8,31.6,805.8,1014,1.3848,15/06/18,11:30:50
348,34.5,31.6,805.6,1019,1.3846,15/06/18,11:30:52
349,33.9,31.6,805.6,1019,1.3847,15/06/18,11:30:54
350,33.5,31.6,805.4,1019,1.3846,15/06/18,11:30:56
351,33.1,31.6,805.4,1019,1.3847,15/06/18,11:30:58
352,32.7,31.6,804.8,1019,1.3846,15/06/18,11:31:00
353,32.4,31.6,804.8,1019,1.3847,15/06/18,11:31:02
354,32.3,31.6,804.9,1019,1.3845,15/06/18,11:31:04
355,32.4,31.6,804.9,1019,1.3847,15/06/18,11:31:06
356,32.6,31.6,804.8,1021,1.3845,15/06/18,11:31:08
357,32.8,31.6,804.8,1021,1.3846,15/06/18,11:31:10
358,32.8,31.7,804.2,1020,1.3845,15/06/18,11:31:12
359,32.6,31.7,804.2,1020,1.3846,15/06/18,11:31:14
360,32.6,31.6,804.5,1019,1.3844,15/06/18,11:31:16
361,32.8,31.6,804.5,1019,1.3846,15/06/18,11:31:18
362,33,31.5,804.7,1015,1.3844,15/06/18,11:31:20
363,33.4,31.5,804.7,1015,1.3845,15/06/18,11:31:22
364,34,31.6,804.3,998,1.3844,15/06/18,11:31:24
365,34.5,31.6,804.3,998,1.3845,15/06/18,11:31:26
366,34.7,31.5,804.2,978,1.3843,15/06/18,11:31:28
367,34.8,31.5,804.2,978,1.3845,15/06/18,11:31:30
368,34.9,31.5,804.2,960,1.3843,15/06/18,11:31:32
369,34.8,31.5,804.2,960,1.3845,15/06/18,11:31:34
370,34.6,31.5,803.9,952,1.3843,15/06/18,11:31:36
371,34.3,31.5,803.9,952,1.3844,15/06/18,11:31:38
372,34.2,31.5,804.1,954,1.3843,15/06/18,11:31:40
373,34.2,31.5,804.1,954,1.3844,15/06/18,11:31:42
374,33.8,31.6,804.1,967,1.3842,15/06/18,11:31:44
375,33.4,31.6,804.1,967,1.3844,15/06/18,11:31:46
376,33,31.6,804.2,954,1.3842,15/06/18,11:31:48
377,32.4,31.6,804.2,954,1.3843,15/06/18,11:31:50
378,32,31.6,804.2,966,1.3842,15/06/18,11:31:52
379,32.1,31.6,804.2,966,1.3843,15/06/18,11:31:54
380,32.1,31.6,804.4,977,1.3842,15/06/18,11:31:56
381,32,31.6,804.4,977,1.3843,15/06/18,11:31:58
382,32.1,31.6,804.2,990,1.3841,15/06/18,11:32:00
383,32.3,31.6,804.2,990,1.3842,15/06/18,11:32:02
384,32.2,31.6,804.2,992,1.3841,15/06/18,11:32:04
385,31.9,31.6,804.2,992,1.3842,15/06/18,11:32:06
386,31.8,31.6,804.2,992,1.384,15/06/18,11:32:08
387,32.6,31.6,804.2,992,1.3842,15/06/18,11:32:10
388,33.5,31.6,804.1,993,1.384,15/06/18,11:32:12
389,34,31.6,804.1,993,1.3842,15/06/18,11:32:14
390,34.5,31.6,804.6,993,1.384,15/06/18,11:32:16
391,34.8,31.6,804.6,993,1.3841,15/06/18,11:32:18
